link_id,assignment_period_volume,QDF,t2,length,ultimate_capacity,critical_speed,critical_density,free_flow_speed,flatness_of_curve,cd_alpha,cd_beta
1,5618.318375,2.828787854,7.75,6.991148648,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
2,5611.529274,2.697989458,7.916666667,0.397194307,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
3,5718.546243,1.753401076,7.916666667,3.019888023,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
4,5828.446651,1.433532336,7.916666667,7.502792373,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
5,6027.583941,1.439542866,8,2.386710402,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
6,6225.499879,1.523358346,7.916666667,7.255255329,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
7,6347.677772,2.154015255,7.833333333,8.004207089,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
8,6284.39341,1.805322221,7.916666667,7.999800885,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
9,6295.346671,2.054077197,7.916666667,8.008902371,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
10,6421.692868,11.72315284,7.916666667,5.31078143,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
11,6382.588546,3.880486772,7,3.501502476,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
12,5430.718712,5.435185166,6.75,9.024274666,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
13,5282.055355,3.30306938,6.75,4.297722595,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
14,5407.673942,2.613186642,6.833333333,9.729227768,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
15,5674.183697,2.648337889,6.833333333,6.736688617,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
16,5588.006584,2.487884897,6.833333333,4.96834168,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
17,5564.65313,2.532846761,7.416666667,1.4450403,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
18,5517.939469,2.388864018,7.416666667,7.615442683,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
19,5646.99006,1.047887307,7.333333333,2.06190357,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
20,5484.760507,1.024129409,7.75,4.632969243,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
21,6151.010007,1.0959402,8.083333333,7.869119561,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
22,5671.598901,1.992099388,8.083333333,8.897277504,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
23,5757.593498,1.861387435,8,4.827151186,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
24,5243.997916,1.770479572,7.916666667,8.139513772,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
25,5470.095498,1.654746056,7.833333333,3.638460128,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
26,5360.27382,1.593970863,8,5.321219031,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
27,5865.575047,1.676801232,7.833333333,8.406720581,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
28,5998.86442,1.800547422,7.833333333,7.424604301,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
29,6187.392909,2.283821517,8.5,8.157524428,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
30,5714.910621,3.725119858,8.583333333,7.164560172,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
31,5718.517511,3.720993874,7.833333333,2.534670285,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
32,5308.83105,3.624543657,7.916666667,7.716984636,1689.105868,52.73286227,32.03137086,70.72875,4.721497087,0.341265142,1.418182997
