time,corridor_id,demand,ramp_flag
0,Corridor-1,1038.1,0
1,Corridor-1,1041.144939,0
2,Corridor-1,1044.031012,0
3,Corridor-1,1046.758218,0
4,Corridor-1,1049.326558,0
5,Corridor-1,1051.736032,0
6,Corridor-1,1053.986639,0
7,Corridor-1,1056.07838,0
8,Corridor-1,1058.011254,0
9,Corridor-1,1059.785262,0
10,Corridor-1,1061.400404,0
11,Corridor-1,1062.856679,0
12,Corridor-1,1064.154088,0
13,Corridor-1,1065.292631,0
14,Corridor-1,1066.272307,0
15,Corridor-1,1067.093116,0
16,Corridor-1,1067.75506,0
17,Corridor-1,1068.258137,0
18,Corridor-1,1068.602347,0
19,Corridor-1,1068.787691,0
20,Corridor-1,1068.814169,0
21,Corridor-1,1068.68178,0
22,Corridor-1,1068.390525,0
23,Corridor-1,1067.940404,0
24,Corridor-1,1067.331416,0
25,Corridor-1,1066.563562,0
26,Corridor-1,1065.636841,0
27,Corridor-1,1064.551254,0
28,Corridor-1,1063.306801,0
29,Corridor-1,1061.903481,0
30,Corridor-1,1060.341295,0
31,Corridor-1,1058.620242,0
32,Corridor-1,1056.740323,0
33,Corridor-1,1054.701538,0
34,Corridor-1,1052.503886,0
35,Corridor-1,1050.147368,0
36,Corridor-1,1047.631983,0
37,Corridor-1,1044.957733,0
38,Corridor-1,1042.124615,0
39,Corridor-1,1039.132632,0
40,Corridor-1,1035.981781,0
41,Corridor-1,1032.672065,0
42,Corridor-1,1029.203482,0
43,Corridor-1,1025.576033,0
44,Corridor-1,1021.789717,0
45,Corridor-1,1017.844535,0
46,Corridor-1,1013.740487,0
47,Corridor-1,1009.477572,0
48,Corridor-1,1005.055791,0
49,Corridor-1,1000.475143,0
50,Corridor-1,995.735629,0
51,Corridor-1,990.8372486,0
52,Corridor-1,985.7800018,0
53,Corridor-1,980.5638887,0
54,Corridor-1,975.1889091,0
55,Corridor-1,969.6550631,0
56,Corridor-1,963.9623508,0
57,Corridor-1,958.1107721,0
58,Corridor-1,952.1003269,0
59,Corridor-1,945.9310154,0
